nx,ny,threadsPerBlock,repetition,time(s),iterations
500,500,1,1,0.777277,484
500,500,1,2,0.77669,484
500,500,1,3,0.799844,484
500,500,2,1,0.429269,484
500,500,2,2,0.429299,484
500,500,2,3,0.430415,484
500,500,4,1,0.285578,484
500,500,4,2,0.286114,484
500,500,4,3,0.286216,484
500,500,8,1,0.227954,484
500,500,8,2,0.228614,484
500,500,8,3,0.229948,484
500,500,16,1,0.195689,484
500,500,16,2,0.196351,484
500,500,16,3,0.196682,484
500,500,32,1,0.158598,484
500,500,32,2,0.158673,484
500,500,32,3,0.158227,484
500,500,64,1,0.149897,484
500,500,64,2,0.146953,484
500,500,64,3,0.149017,484
500,500,128,1,0.149748,484
500,500,128,2,0.149468,484
500,500,128,3,0.149675,484
500,500,192,1,0.150464,484
500,500,192,2,0.151,484
500,500,192,3,0.15118,484
500,500,256,1,0.140963,484
500,500,256,2,0.14113,484
500,500,256,3,0.140708,484
500,500,384,1,0.139808,483
500,500,384,2,0.144905,483
500,500,384,3,0.139647,483
500,500,512,1,0.134163,484
500,500,512,2,0.133372,484
500,500,512,3,0.134521,484
500,500,640,1,0.138212,484
500,500,640,2,0.137283,484
500,500,640,3,0.13777,484
500,500,768,1,0.13441,483
500,500,768,2,0.134697,483
500,500,768,3,0.135199,483
500,500,896,1,0.124043,483
500,500,896,2,0.123676,483
500,500,896,3,0.123814,483
500,500,1024,1,0.125223,484
500,500,1024,2,0.12479,484
500,500,1024,3,0.125203,484
