nx,ny,threadsPerBlock,repetition,time(s),iterations
1000,1000,1,1,5.8435,695
1000,1000,1,2,6.04396,695
1000,1000,1,3,5.62542,695
1000,1000,2,1,4.0748,695
1000,1000,2,2,4.12019,695
1000,1000,2,3,3.78953,695
1000,1000,4,1,2.95153,695
1000,1000,4,2,3.05687,695
1000,1000,4,3,3.03026,695
1000,1000,8,1,2.56792,695
1000,1000,8,2,3.114,695
1000,1000,8,3,2.81025,695
1000,1000,16,1,2.77219,695
1000,1000,16,2,2.57663,695
1000,1000,16,3,2.85797,695
1000,1000,32,1,2.84018,695
1000,1000,32,2,2.93353,695
1000,1000,32,3,2.58233,695
1000,1000,64,1,2.42034,695
1000,1000,64,2,2.69118,695
1000,1000,64,3,3.12945,695
1000,1000,128,1,3.15568,695
1000,1000,128,2,2.54696,695
1000,1000,128,3,2.54392,695
1000,1000,192,1,2.3896,695
1000,1000,192,2,2.52058,695
1000,1000,192,3,2.55909,695
1000,1000,256,1,2.56174,695
1000,1000,256,2,2.59589,695
1000,1000,256,3,2.74327,695
1000,1000,384,1,2.77023,695
1000,1000,384,2,2.42604,695
1000,1000,384,3,2.24119,695
1000,1000,512,1,2.63335,695
1000,1000,512,2,2.64964,695
1000,1000,512,3,2.14343,695
1000,1000,640,1,2.54188,695
1000,1000,640,2,2.42315,695
1000,1000,640,3,2.3113,695
1000,1000,768,1,2.46368,695
1000,1000,768,2,2.51699,695
1000,1000,768,3,2.21943,695
1000,1000,896,1,2.50747,695
1000,1000,896,2,2.73681,695
1000,1000,896,3,2.51617,695
1000,1000,1024,1,2.26121,695
1000,1000,1024,2,2.12968,695
1000,1000,1024,3,2.4235,695
